"ID","respondent","gender","age","education","area","mileage","power","design","comfort","entertainment","environment"
1,1,2,66,5,3,4,2,2,5,3,4
2,2,2,54,2,3,4,5,2,3,3,3
3,3,1,33,3,4,5,4,5,3,5,5
4,4,1,45,2,1,2,4,5,6,4,3
5,5,2,73,4,2,3,3,2,6,2,4
6,6,1,22,1,4,5,5,4,4,6,5
7,7,1,42,4,3,4,3,5,5,4,5
8,8,1,31,2,4,5,5,5,3,6,5
9,9,1,42,2,3,4,5,5,4,4,5
10,10,2,64,4,3,4,3,2,5,2,4
11,11,2,48,1,1,3,6,3,3,4,3
12,12,2,43,1,4,6,7,3,4,4,4
13,13,1,54,2,3,4,4,4,4,3,4
14,14,1,75,1,3,4,5,4,5,2,4
15,15,1,44,1,1,2,5,6,5,4,4
16,16,2,40,2,4,5,6,3,4,5,3
17,17,2,33,4,1,2,3,4,3,5,4
18,18,2,65,2,1,2,5,3,5,2,2
19,19,1,39,3,1,2,3,6,5,5,4
20,20,1,47,1,3,4,5,4,5,3,4
21,21,2,61,4,4,5,3,2,3,3,5
22,22,1,38,5,3,4,2,5,3,5,5
23,23,2,43,3,1,2,4,4,2,4,3
24,24,1,75,4,4,5,2,4,6,1,4
25,25,2,20,2,3,4,5,2,1,6,3
26,26,1,60,4,1,2,2,5,5,3,6
27,27,1,57,4,2,3,2,4,4,3,5
28,28,1,43,4,1,2,2,6,5,4,6
29,29,2,45,4,4,5,3,2,3,4,5
30,30,1,35,2,2,3,5,5,4,5,4
31,31,1,62,5,4,5,1,4,5,3,6
32,32,1,32,1,2,3,6,5,3,5,4
33,33,2,24,1,3,5,6,2,3,6,3
34,34,1,62,5,1,2,1,5,6,2,5
35,35,2,74,2,3,4,5,2,5,1,2
36,36,2,64,5,4,5,2,2,4,2,4
37,37,1,41,1,4,5,6,5,5,5,5
38,38,2,41,2,4,5,6,3,4,4,4
39,39,1,48,3,1,2,3,5,5,4,5
40,40,1,24,5,1,2,1,5,2,5,6
41,41,1,48,3,4,5,3,4,5,4,5
42,42,1,35,4,2,3,3,5,3,5,7
43,43,1,57,1,4,5,5,4,4,3,4
44,44,2,65,3,2,3,4,2,4,3,3
45,45,1,36,4,4,5,3,5,4,5,7
46,46,1,60,2,3,4,4,4,5,3,4
47,47,1,18,5,3,4,1,4,3,6,7
48,48,1,62,4,2,3,2,4,5,3,5
49,49,1,51,3,1,2,3,5,4,4,4
50,50,1,50,3,3,4,3,4,4,4,5
51,51,1,52,4,3,4,2,4,6,3,5
52,52,2,27,2,1,2,5,3,2,5,4
53,53,1,71,1,1,2,5,5,5,2,2
54,54,2,69,4,2,3,3,2,5,2,3
55,55,2,55,2,2,3,5,2,4,3,2
56,56,1,66,2,3,4,4,4,6,2,3
57,57,2,36,3,1,2,4,4,2,5,4
58,58,1,52,4,1,2,2,5,5,3,6
59,59,1,41,1,2,3,6,5,4,4,4
60,60,2,51,1,1,3,6,3,4,4,4
61,61,2,31,1,4,6,7,3,3,5,4
62,62,2,62,1,4,6,6,2,5,2,2
63,63,1,35,4,4,5,3,5,5,5,5
64,64,1,39,4,1,2,2,6,5,5,5
65,65,2,35,1,2,4,7,3,3,5,3
66,66,2,66,4,4,5,3,2,5,2,4
67,67,2,22,1,2,4,6,2,2,6,3
68,68,2,46,2,3,4,5,2,3,4,4
69,69,1,49,3,1,2,3,5,5,4,5
70,70,2,50,5,2,3,2,2,3,4,3
71,71,2,42,3,2,3,5,3,4,5,5
72,72,1,42,1,2,3,6,5,5,4,4
73,73,1,40,4,3,4,3,5,3,4,5
74,74,1,29,4,1,2,2,5,5,5,5
75,75,2,35,3,1,2,4,4,2,5,4
76,76,2,65,1,2,4,6,2,3,2,2
77,77,2,68,4,3,4,3,2,5,2,4
78,78,2,35,3,2,3,5,3,3,5,4
79,79,1,66,3,3,4,3,4,5,2,3
80,80,1,46,5,1,2,1,5,5,4,6
81,81,1,60,4,2,3,2,4,6,3,4
82,82,2,71,4,2,3,3,2,6,1,3
83,83,1,72,4,3,4,2,4,6,2,5
84,84,1,51,5,3,4,1,4,5,4,5
85,85,1,66,4,2,3,2,4,5,2,5
86,86,2,72,2,3,4,5,2,6,2,2
87,87,2,63,1,3,5,6,2,3,3,3
88,88,1,66,2,3,4,4,4,4,2,4
89,89,2,24,5,4,5,2,2,3,6,5
90,90,2,19,3,3,4,4,2,2,6,6
91,91,1,25,1,3,4,5,4,5,6,4
92,92,1,59,5,1,2,1,5,5,3,5
93,93,1,32,3,3,4,4,5,3,5,6
94,94,1,48,4,2,3,2,4,6,4,5
95,95,1,37,1,4,5,6,5,4,5,4
96,96,2,20,5,2,3,2,2,3,6,6
97,97,2,60,5,2,3,2,2,5,3,5
98,98,1,60,2,2,3,4,4,6,3,4
99,99,2,29,2,4,5,5,2,4,5,3
100,100,1,41,5,1,2,1,6,4,5,6
101,101,2,31,5,3,4,3,3,2,6,6
102,102,1,56,1,2,3,5,4,6,3,3
103,103,2,48,3,2,3,4,2,4,4,4
104,104,1,57,1,1,2,5,5,4,3,3
105,105,1,18,4,2,3,2,4,2,6,6
106,106,1,39,3,3,4,4,5,4,5,5
107,107,2,58,2,3,4,5,2,5,3,2
108,108,2,52,5,4,5,2,2,3,3,3
109,109,2,63,2,2,3,5,2,5,2,2
110,110,2,28,3,2,3,4,2,2,6,4
111,111,2,65,5,1,2,2,3,6,2,3
112,112,1,71,3,2,3,3,4,5,2,5
113,113,1,38,5,1,2,1,6,3,5,5
114,114,1,36,1,1,2,5,6,3,4,4
115,115,1,75,5,4,5,1,4,6,2,4
116,116,2,54,1,1,3,6,3,5,4,2
117,117,1,46,2,1,2,4,5,5,4,3
118,118,2,18,4,4,5,3,2,2,6,6
119,119,1,74,5,3,4,1,4,6,1,5
120,120,2,19,5,1,2,2,3,3,6,6
121,121,1,49,5,1,2,1,5,3,4,6
122,122,2,65,3,4,5,4,2,4,2,4
